# Residuals   
# Time        	p             	Ux            	Uy            	Uz            
0.005         	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
0.01          	2.761856e-02	1.499136e-01	1.240228e-01	1.327467e-01
0.015         	9.280236e-02	3.278396e-02	1.851306e-02	4.224324e-02
0.02          	2.399019e-01	8.834788e-03	5.359016e-03	6.460581e-03
0.025         	6.446799e-02	1.105867e-02	4.838002e-03	1.175953e-02
0.03          	4.878143e-02	6.856267e-03	4.100925e-03	1.098681e-02
0.035         	5.264001e-02	4.023074e-03	2.566798e-03	3.346096e-03
0.04          	2.878606e-02	3.746406e-03	2.236345e-03	3.261596e-03
0.045         	1.789883e-02	3.393897e-03	2.058996e-03	3.121962e-03
0.05          	1.312905e-02	3.150203e-03	1.894034e-03	2.765963e-03
0.055         	9.238902e-03	3.023964e-03	1.759097e-03	2.443360e-03
0.06          	7.189478e-03	2.883783e-03	1.682863e-03	2.333194e-03
0.065         	5.985973e-03	2.794289e-03	1.610253e-03	2.248569e-03
0.07          	5.305301e-03	2.703821e-03	1.546014e-03	2.191549e-03
0.075         	4.757004e-03	2.625476e-03	1.494724e-03	2.138988e-03
0.08          	4.349921e-03	2.551678e-03	1.449268e-03	2.085584e-03
0.085         	4.038877e-03	2.490699e-03	1.405979e-03	2.035439e-03
0.09          	3.788941e-03	2.431567e-03	1.367248e-03	1.988739e-03
0.095         	3.579695e-03	2.378492e-03	1.331100e-03	1.945721e-03
0.1           	3.397257e-03	2.328044e-03	1.297223e-03	1.905649e-03
0.105         	3.241967e-03	2.281320e-03	1.264494e-03	1.867287e-03
0.11          	3.086172e-03	2.238124e-03	1.234986e-03	1.830696e-03
0.115         	2.958311e-03	2.199154e-03	1.208321e-03	1.797600e-03
0.12          	2.842482e-03	2.162981e-03	1.183533e-03	1.767902e-03
0.125         	2.734951e-03	2.129237e-03	1.160574e-03	1.741064e-03
0.13          	2.641441e-03	2.098231e-03	1.139886e-03	1.717908e-03
0.135         	2.547496e-03	2.068300e-03	1.121061e-03	1.695265e-03
0.14          	2.470477e-03	2.041365e-03	1.103758e-03	1.673365e-03
0.145         	2.401780e-03	2.016236e-03	1.087520e-03	1.652600e-03
0.15          	2.342858e-03	1.992597e-03	1.072254e-03	1.632891e-03
0.155         	2.294622e-03	1.970300e-03	1.057948e-03	1.614108e-03
0.16          	2.267460e-03	1.949145e-03	1.044552e-03	1.595604e-03
0.165         	2.257460e-03	1.929893e-03	1.032129e-03	1.578457e-03
