# Residuals   
# Time        	p             	Ux            	Uy            	Uz            
0.005         	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
0.01          	4.100791e-02	1.645825e-01	1.213801e-01	1.230881e-01
0.015         	5.683939e-02	5.734581e-02	3.388357e-02	5.523277e-02
0.02          	7.155503e-02	3.278706e-02	1.572390e-02	2.233378e-02
0.025         	5.526499e-02	2.394593e-02	1.108366e-02	1.424424e-02
0.03          	4.656646e-02	2.094545e-02	9.436278e-03	1.181404e-02
0.035         	4.103652e-02	1.934862e-02	8.357983e-03	1.207666e-02
0.04          	3.421698e-02	1.690552e-02	7.606432e-03	1.108187e-02
0.045         	2.888118e-02	1.486204e-02	7.143397e-03	1.002557e-02
0.05          	2.201780e-02	1.411063e-02	7.271042e-03	9.997383e-03
0.055         	1.942694e-02	1.208480e-02	6.511939e-03	8.705860e-03
0.06          	1.776191e-02	1.114412e-02	6.102517e-03	8.043318e-03
0.065         	1.656181e-02	1.049070e-02	5.817001e-03	7.567288e-03
0.07          	1.570448e-02	9.776300e-03	5.556582e-03	7.174731e-03
0.075         	1.437224e-02	9.350691e-03	5.413786e-03	7.047520e-03
0.08          	1.390854e-02	8.897836e-03	5.221199e-03	6.812456e-03
0.085         	1.240383e-02	8.673344e-03	5.120461e-03	7.000115e-03
0.09          	1.206696e-02	8.225201e-03	4.925403e-03	6.638179e-03
0.095         	1.123168e-02	7.968245e-03	4.805553e-03	6.474776e-03
0.1           	1.112696e-02	7.683450e-03	4.685339e-03	6.247018e-03
0.105         	1.039544e-02	7.520045e-03	4.617897e-03	6.203048e-03
0.11          	1.040808e-02	7.201601e-03	4.516488e-03	5.976849e-03
0.115         	9.760939e-03	7.028869e-03	4.449861e-03	5.939981e-03
0.12          	9.820295e-03	6.738026e-03	4.374081e-03	5.722118e-03
0.125         	9.227200e-03	6.574319e-03	4.327962e-03	5.664356e-03
0.13          	9.324915e-03	6.315838e-03	4.258051e-03	5.466156e-03
0.135         	8.771693e-03	6.162316e-03	4.213568e-03	5.410841e-03
0.14          	8.908121e-03	5.937219e-03	4.143851e-03	5.231746e-03
0.145         	8.399169e-03	5.800857e-03	4.097932e-03	5.184198e-03
0.15          	8.551387e-03	5.596784e-03	4.027459e-03	5.022553e-03
0.155         	8.059789e-03	5.462149e-03	3.979786e-03	4.970465e-03
0.16          	8.230779e-03	5.286662e-03	3.910528e-03	4.824443e-03
0.165         	7.781996e-03	5.161996e-03	3.861230e-03	4.770706e-03
0.17          	7.992038e-03	5.006630e-03	3.791682e-03	4.640938e-03
0.175         	7.594265e-03	4.888017e-03	3.739708e-03	4.580841e-03
0.18          	7.841092e-03	4.748798e-03	3.668655e-03	4.459517e-03
0.185         	7.455751e-03	4.634607e-03	3.608916e-03	4.390653e-03
0.19          	7.708509e-03	4.508561e-03	3.533184e-03	4.274353e-03
0.195         	7.330551e-03	4.401335e-03	3.464415e-03	4.194714e-03
0.2           	7.588841e-03	4.286706e-03	3.385537e-03	4.077632e-03
0.205         	7.182266e-03	4.188603e-03	3.310418e-03	3.991407e-03
0.21          	7.425783e-03	4.085573e-03	3.230400e-03	3.875602e-03
0.215         	7.000482e-03	3.999270e-03	3.152192e-03	3.787964e-03
0.22          	7.220832e-03	3.907408e-03	3.072115e-03	3.673559e-03
0.225         	7.132246e-03	3.828845e-03	2.995491e-03	3.574016e-03
0.23          	6.658125e-03	3.757577e-03	2.918088e-03	3.495348e-03
0.235         	6.860166e-03	3.673104e-03	2.841040e-03	3.385898e-03
0.24          	6.776259e-03	3.604541e-03	2.770530e-03	3.289645e-03
0.245         	6.623170e-03	3.538093e-03	2.699407e-03	3.198328e-03
0.25          	6.486795e-03	3.472006e-03	2.629813e-03	3.112195e-03
0.255         	6.364178e-03	3.406511e-03	2.562193e-03	3.029096e-03
0.26          	6.240600e-03	3.343170e-03	2.496928e-03	2.949082e-03
0.265         	6.114071e-03	3.280396e-03	2.432919e-03	2.870099e-03
0.27          	5.986117e-03	3.217697e-03	2.368890e-03	2.791381e-03
0.275         	5.858571e-03	3.154778e-03	2.304421e-03	2.711449e-03
0.28          	5.729743e-03	3.092398e-03	2.239730e-03	2.630682e-03
0.285         	5.594758e-03	3.030994e-03	2.174900e-03	2.549106e-03
0.29          	5.455340e-03	2.969686e-03	2.109312e-03	2.468048e-03
0.295         	5.318702e-03	2.907729e-03	2.044284e-03	2.387525e-03
0.3           	5.186698e-03	2.845278e-03	1.980024e-03	2.307236e-03
0.305         	5.058927e-03	2.782955e-03	1.916773e-03	2.228111e-03
0.31          	4.933665e-03	2.720358e-03	1.855268e-03	2.150455e-03
0.315         	4.810406e-03	2.656853e-03	1.795709e-03	2.074734e-03
0.32          	4.691998e-03	2.592159e-03	1.737857e-03	2.001531e-03
0.325         	4.577285e-03	2.526805e-03	1.681937e-03	1.931146e-03
0.33          	4.466008e-03	2.461046e-03	1.628078e-03	1.863441e-03
0.335         	4.359805e-03	2.395036e-03	1.576631e-03	1.798920e-03
0.34          	4.260868e-03	2.329652e-03	1.528235e-03	1.738034e-03
0.345         	4.171491e-03	2.265742e-03	1.483594e-03	1.681528e-03
0.35          	4.088394e-03	2.203957e-03	1.442701e-03	1.629371e-03
0.355         	4.012977e-03	2.144166e-03	1.405646e-03	1.581273e-03
0.36          	3.943693e-03	2.086787e-03	1.372259e-03	1.536865e-03
0.365         	3.881299e-03	2.031844e-03	1.342329e-03	1.496364e-03
0.37          	3.823285e-03	1.979388e-03	1.315715e-03	1.459592e-03
0.375         	3.768789e-03	1.929544e-03	1.292053e-03	1.425681e-03
0.38          	3.717207e-03	1.881958e-03	1.271105e-03	1.394276e-03
0.385         	3.669678e-03	1.836887e-03	1.252426e-03	1.365763e-03
0.39          	3.623918e-03	1.793916e-03	1.235723e-03	1.339704e-03
0.395         	3.579436e-03	1.753110e-03	1.220730e-03	1.315744e-03
0.4           	3.536813e-03	1.714200e-03	1.207226e-03	1.293869e-03
0.405         	3.496522e-03	1.677195e-03	1.195238e-03	1.273916e-03
0.41          	3.458279e-03	1.642373e-03	1.184531e-03	1.255655e-03
0.415         	3.422101e-03	1.609599e-03	1.175055e-03	1.238779e-03
0.42          	3.387779e-03	1.579413e-03	1.167013e-03	1.223321e-03
0.425         	3.353815e-03	1.552270e-03	1.160423e-03	1.208865e-03
0.43          	3.319917e-03	1.528253e-03	1.154991e-03	1.195338e-03
0.435         	3.287036e-03	1.506889e-03	1.150363e-03	1.182503e-03
0.44          	3.254937e-03	1.487852e-03	1.146100e-03	1.170210e-03
0.445         	3.222072e-03	1.470608e-03	1.142233e-03	1.158246e-03
0.45          	3.190148e-03	1.454792e-03	1.138473e-03	1.146543e-03
0.455         	3.158513e-03	1.440191e-03	1.134673e-03	1.135124e-03
0.46          	3.126602e-03	1.426671e-03	1.130821e-03	1.123969e-03
0.465         	3.095048e-03	1.414233e-03	1.126705e-03	1.113261e-03
0.47          	3.063424e-03	1.402816e-03	1.122202e-03	1.102939e-03
0.475         	3.033487e-03	1.392690e-03	1.117311e-03	1.092886e-03
0.48          	3.005458e-03	1.383877e-03	1.112012e-03	1.083307e-03
0.485         	2.980508e-03	1.376479e-03	1.106504e-03	1.073970e-03
0.49          	2.958868e-03	1.370049e-03	1.100468e-03	1.064790e-03
0.495         	2.940379e-03	1.364328e-03	1.093892e-03	1.055748e-03
0.5           	2.925646e-03	1.358837e-03	1.086866e-03	1.046833e-03
0.505         	2.913446e-03	1.353221e-03	1.079491e-03	1.037806e-03
0.51          	2.903139e-03	1.347347e-03	1.071810e-03	1.028656e-03
0.515         	2.895353e-03	1.340874e-03	1.063843e-03	1.019512e-03
0.52          	2.887516e-03	1.333878e-03	1.055703e-03	1.010503e-03
0.525         	2.880401e-03	1.326024e-03	1.047641e-03	1.001677e-03
0.53          	2.873722e-03	1.317166e-03	1.039762e-03	9.929940e-04
0.535         	2.866577e-03	1.307392e-03	1.032232e-03	9.844063e-04
0.54          	2.858723e-03	1.296761e-03	1.025083e-03	9.757826e-04
0.545         	2.849360e-03	1.285268e-03	1.018241e-03	9.674554e-04
0.55          	2.839364e-03	1.273121e-03	1.011622e-03	9.592604e-04
0.555         	2.828093e-03	1.260632e-03	1.005205e-03	9.510057e-04
0.56          	2.815306e-03	1.248123e-03	9.988327e-04	9.426073e-04
0.565         	2.799954e-03	1.235512e-03	9.924260e-04	9.340630e-04
0.57          	2.783512e-03	1.222889e-03	9.859246e-04	9.253680e-04
0.575         	2.766604e-03	1.210084e-03	9.791311e-04	9.165520e-04
0.58          	2.747517e-03	1.197069e-03	9.719828e-04	9.075550e-04
0.585         	2.726314e-03	1.183774e-03	9.646320e-04	8.984225e-04
0.59          	2.702856e-03	1.170397e-03	9.567952e-04	8.893382e-04
0.595         	2.677281e-03	1.156845e-03	9.484736e-04	8.802618e-04
0.6           	2.650257e-03	1.143080e-03	9.398344e-04	8.711083e-04
0.605         	2.620769e-03	1.129319e-03	9.308150e-04	8.620470e-04
0.61          	2.590028e-03	1.115617e-03	9.213421e-04	8.530397e-04
0.615         	2.558213e-03	1.101717e-03	9.113897e-04	8.441761e-04
0.62          	2.524948e-03	1.087669e-03	9.010616e-04	8.355125e-04
0.625         	2.490348e-03	1.073447e-03	8.902646e-04	8.269255e-04
0.63          	2.454285e-03	1.059128e-03	8.791722e-04	8.184593e-04
0.635         	2.417151e-03	1.044816e-03	8.676096e-04	8.100404e-04
0.64          	2.378774e-03	1.030490e-03	8.555459e-04	8.017130e-04
0.645         	2.339263e-03	1.016299e-03	8.429777e-04	7.934071e-04
0.65          	2.298548e-03	1.002381e-03	8.299369e-04	7.849833e-04
