# Residuals   
# Time        	p             	Ux            	Uy            	Uz            
1             	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
2             	8.280594e-02	1.438269e-01	1.478187e-01	1.415361e-01
3             	4.966861e-02	8.553048e-02	7.264782e-02	8.242260e-02
4             	9.436516e-02	5.003275e-02	4.653562e-02	5.081751e-02
5             	1.026445e-01	3.960168e-02	3.639929e-02	4.012426e-02
6             	8.519227e-02	3.478339e-02	3.111577e-02	3.432980e-02
7             	6.814261e-02	3.174116e-02	2.763798e-02	3.060270e-02
8             	5.189656e-02	2.932053e-02	2.502425e-02	2.806730e-02
9             	4.194259e-02	2.731521e-02	2.297270e-02	2.616799e-02
10            	3.791788e-02	2.553868e-02	2.116098e-02	2.427793e-02
11            	3.474944e-02	2.403522e-02	1.955670e-02	2.252873e-02
12            	3.206619e-02	2.268594e-02	1.817371e-02	2.093058e-02
13            	2.990925e-02	2.144618e-02	1.700957e-02	1.949374e-02
14            	2.811277e-02	2.032476e-02	1.597410e-02	1.819800e-02
15            	2.684121e-02	1.931026e-02	1.505646e-02	1.700854e-02
16            	2.553341e-02	1.839283e-02	1.426526e-02	1.596238e-02
17            	2.428176e-02	1.752681e-02	1.355328e-02	1.506148e-02
18            	2.304507e-02	1.672475e-02	1.290208e-02	1.427321e-02
19            	2.192839e-02	1.595433e-02	1.232086e-02	1.358863e-02
20            	2.091135e-02	1.521314e-02	1.180167e-02	1.298148e-02
21            	1.999754e-02	1.449451e-02	1.132163e-02	1.241679e-02
22            	1.919998e-02	1.380700e-02	1.087357e-02	1.189314e-02
23            	1.844851e-02	1.315705e-02	1.045727e-02	1.140505e-02
24            	1.781881e-02	1.254146e-02	1.006379e-02	1.095529e-02
25            	1.732650e-02	1.196077e-02	9.688877e-03	1.053428e-02
26            	1.691790e-02	1.141520e-02	9.332834e-03	1.014126e-02
27            	1.653268e-02	1.090459e-02	8.989805e-03	9.776948e-03
28            	1.614392e-02	1.042639e-02	8.655396e-03	9.428251e-03
29            	1.570614e-02	9.971252e-03	8.335245e-03	9.099774e-03
30            	1.524405e-02	9.536066e-03	8.024996e-03	8.776632e-03
31            	1.478307e-02	9.120115e-03	7.725448e-03	8.459500e-03
32            	1.432647e-02	8.720350e-03	7.439976e-03	8.147698e-03
33            	1.384671e-02	8.344923e-03	7.163537e-03	7.839078e-03
34            	1.338312e-02	7.982334e-03	6.895227e-03	7.531674e-03
35            	1.297023e-02	7.638273e-03	6.639785e-03	7.236497e-03
36            	1.253937e-02	7.310967e-03	6.396368e-03	6.949106e-03
37            	1.215512e-02	6.992867e-03	6.163730e-03	6.666841e-03
38            	1.179039e-02	6.691241e-03	5.940720e-03	6.391139e-03
39            	1.143330e-02	6.405662e-03	5.726660e-03	6.124990e-03
40            	1.107096e-02	6.136880e-03	5.520018e-03	5.869744e-03
41            	1.070251e-02	5.882311e-03	5.321149e-03	5.627756e-03
42            	1.033597e-02	5.639863e-03	5.131215e-03	5.398402e-03
43            	9.958784e-03	5.409721e-03	4.950290e-03	5.183182e-03
44            	9.591213e-03	5.192415e-03	4.779468e-03	4.979311e-03
45            	9.233559e-03	4.986675e-03	4.617131e-03	4.785658e-03
46            	8.872206e-03	4.793919e-03	4.465618e-03	4.601227e-03
47            	8.520860e-03	4.611521e-03	4.322174e-03	4.424812e-03
48            	8.174645e-03	4.439593e-03	4.185232e-03	4.256368e-03
49            	7.843569e-03	4.277416e-03	4.055006e-03	4.096081e-03
50            	7.533624e-03	4.123544e-03	3.930674e-03	3.942430e-03
51            	7.250611e-03	3.978457e-03	3.811094e-03	3.796115e-03
52            	6.988298e-03	3.841399e-03	3.695959e-03	3.657026e-03
53            	6.735961e-03	3.711780e-03	3.583983e-03	3.523621e-03
54            	6.497406e-03	3.588306e-03	3.474906e-03	3.397068e-03
55            	6.271360e-03	3.471185e-03	3.368934e-03	3.275773e-03
56            	6.054758e-03	3.360039e-03	3.264876e-03	3.160095e-03
57            	5.848271e-03	3.253803e-03	3.163431e-03	3.050498e-03
58            	5.648450e-03	3.152203e-03	3.064305e-03	2.946390e-03
59            	5.458969e-03	3.055447e-03	2.968424e-03	2.846681e-03
60            	5.277729e-03	2.962767e-03	2.875357e-03	2.751233e-03
61            	5.104621e-03	2.874394e-03	2.785317e-03	2.659950e-03
62            	4.940010e-03	2.789698e-03	2.697987e-03	2.573201e-03
63            	4.780844e-03	2.708053e-03	2.613153e-03	2.490668e-03
64            	4.631274e-03	2.629562e-03	2.531059e-03	2.411803e-03
65            	4.487897e-03	2.554822e-03	2.451285e-03	2.336185e-03
66            	4.347909e-03	2.483116e-03	2.374130e-03	2.264078e-03
67            	4.210615e-03	2.414338e-03	2.299075e-03	2.195186e-03
68            	4.077618e-03	2.348398e-03	2.226346e-03	2.129341e-03
69            	3.948987e-03	2.285056e-03	2.155774e-03	2.065878e-03
70            	3.827062e-03	2.224680e-03	2.087564e-03	2.004812e-03
71            	3.711819e-03	2.166804e-03	2.021819e-03	1.946093e-03
72            	3.604041e-03	2.111279e-03	1.958299e-03	1.889661e-03
73            	3.502923e-03	2.058521e-03	1.897261e-03	1.835350e-03
74            	3.406025e-03	2.007821e-03	1.838457e-03	1.783247e-03
75            	3.315699e-03	1.958619e-03	1.781916e-03	1.733075e-03
76            	3.229622e-03	1.911395e-03	1.727723e-03	1.685239e-03
77            	3.145082e-03	1.866193e-03	1.675711e-03	1.639495e-03
78            	3.062433e-03	1.823087e-03	1.625895e-03	1.595657e-03
79            	2.981778e-03	1.781841e-03	1.578047e-03	1.553455e-03
80            	2.902171e-03	1.742251e-03	1.532166e-03	1.513005e-03
81            	2.824208e-03	1.704306e-03	1.488126e-03	1.474193e-03
82            	2.748305e-03	1.667652e-03	1.446051e-03	1.436833e-03
83            	2.673705e-03	1.632440e-03	1.405479e-03	1.400829e-03
84            	2.599965e-03	1.598320e-03	1.366497e-03	1.366219e-03
85            	2.527191e-03	1.565447e-03	1.329083e-03	1.333032e-03
86            	2.456311e-03	1.533396e-03	1.293160e-03	1.301194e-03
87            	2.388035e-03	1.502234e-03	1.258739e-03	1.270629e-03
88            	2.321821e-03	1.471681e-03	1.225724e-03	1.241322e-03
89            	2.258083e-03	1.442011e-03	1.194060e-03	1.213227e-03
90            	2.196597e-03	1.413309e-03	1.163677e-03	1.186305e-03
91            	2.137321e-03	1.385459e-03	1.134229e-03	1.160624e-03
92            	2.081362e-03	1.358378e-03	1.105980e-03	1.135740e-03
93            	2.028540e-03	1.331909e-03	1.078469e-03	1.111654e-03
94            	1.978059e-03	1.306142e-03	1.051791e-03	1.088261e-03
95            	1.929128e-03	1.281097e-03	1.025662e-03	1.065434e-03
96            	1.881476e-03	1.256515e-03	1.000103e-03	1.043024e-03
97            	1.834666e-03	1.232330e-03	9.750206e-04	1.020924e-03
98            	1.789005e-03	1.208526e-03	9.503588e-04	9.991610e-04
99            	1.743840e-03	1.185018e-03	9.261028e-04	9.777428e-04
100           	1.699302e-03	1.161866e-03	9.022813e-04	9.567576e-04
101           	1.655852e-03	1.138932e-03	8.788183e-04	9.361582e-04
102           	1.613748e-03	1.116131e-03	8.556589e-04	9.159621e-04
103           	1.572663e-03	1.093472e-03	8.328363e-04	8.961679e-04
104           	1.532775e-03	1.070862e-03	8.103973e-04	8.768408e-04
105           	1.493828e-03	1.048421e-03	7.883462e-04	8.580101e-04
106           	1.456134e-03	1.026296e-03	7.667644e-04	8.396462e-04
107           	1.419705e-03	1.004481e-03	7.456554e-04	8.217742e-04
