# Residuals   
# Time        	p             	Ux            	Uy            	Uz            
0.005         	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
0.01          	2.391179e-01	4.842776e-01	4.884836e-01	4.758405e-01
0.015         	1.043061e-01	3.082676e-01	3.291180e-01	2.879692e-01
0.02          	1.581106e-01	2.521503e-01	2.706109e-01	2.307598e-01
0.025         	1.196665e-01	1.340021e-01	1.454723e-01	1.186381e-01
0.03          	1.005889e-01	8.627403e-02	9.614287e-02	7.624537e-02
0.035         	8.232677e-02	5.775678e-02	6.606805e-02	5.163447e-02
0.04          	7.083758e-02	4.423727e-02	5.112526e-02	3.953903e-02
0.045         	5.657751e-02	3.801683e-02	4.278686e-02	3.344771e-02
0.05          	4.542699e-02	3.080622e-02	3.455440e-02	2.713543e-02
0.055         	3.699473e-02	2.476655e-02	2.814722e-02	2.196953e-02
0.06          	3.286774e-02	1.926140e-02	2.215476e-02	1.739037e-02
0.065         	2.831379e-02	1.715609e-02	1.990358e-02	1.544234e-02
0.07          	2.494369e-02	1.471939e-02	1.729134e-02	1.339440e-02
0.075         	2.279385e-02	1.329271e-02	1.559233e-02	1.209233e-02
0.08          	2.166570e-02	1.219370e-02	1.419768e-02	1.117454e-02
0.085         	1.963713e-02	1.092958e-02	1.279563e-02	1.013147e-02
0.09          	1.786259e-02	9.945992e-03	1.173450e-02	9.315802e-03
0.095         	1.635963e-02	9.225375e-03	1.091842e-02	8.703458e-03
0.1           	1.513211e-02	8.664161e-03	1.025472e-02	8.224584e-03
0.105         	1.409866e-02	8.200416e-03	9.681420e-03	7.819604e-03
0.11          	1.320232e-02	7.798366e-03	9.167328e-03	7.461393e-03
0.115         	1.241224e-02	7.443391e-03	8.700599e-03	7.141798e-03
0.12          	1.169991e-02	7.132506e-03	8.285268e-03	6.856258e-03
0.125         	1.105932e-02	6.851797e-03	7.909572e-03	6.590012e-03
0.13          	1.048140e-02	6.585571e-03	7.560537e-03	6.334626e-03
0.135         	9.962739e-03	6.332642e-03	7.231461e-03	6.091055e-03
0.14          	9.500259e-03	6.099379e-03	6.928002e-03	5.864890e-03
0.145         	9.081681e-03	5.885374e-03	6.645414e-03	5.656069e-03
0.15          	8.704998e-03	5.685985e-03	6.378598e-03	5.459380e-03
0.155         	8.356004e-03	5.496574e-03	6.123755e-03	5.269923e-03
0.16          	8.033057e-03	5.313484e-03	5.878863e-03	5.086726e-03
0.165         	7.730954e-03	5.135449e-03	5.646458e-03	4.907985e-03
0.17          	7.446139e-03	4.963539e-03	5.425556e-03	4.733711e-03
0.175         	7.175661e-03	4.798804e-03	5.215679e-03	4.565656e-03
0.18          	6.918412e-03	4.640380e-03	5.016951e-03	4.404402e-03
0.185         	6.673124e-03	4.488254e-03	4.828334e-03	4.249295e-03
0.19          	6.439002e-03	4.341943e-03	4.649422e-03	4.100150e-03
0.195         	6.214883e-03	4.199938e-03	4.479699e-03	3.956591e-03
0.2           	6.000592e-03	4.062332e-03	4.319216e-03	3.818685e-03
0.205         	5.796049e-03	3.929811e-03	4.166762e-03	3.684689e-03
0.21          	5.599377e-03	3.802246e-03	4.022081e-03	3.554551e-03
0.215         	5.408173e-03	3.678688e-03	3.884300e-03	3.428463e-03
0.22          	5.224616e-03	3.558826e-03	3.753157e-03	3.306656e-03
0.225         	5.047425e-03	3.441604e-03	3.628554e-03	3.189825e-03
0.23          	4.876312e-03	3.326604e-03	3.508926e-03	3.077364e-03
0.235         	4.710845e-03	3.214155e-03	3.394356e-03	2.969375e-03
0.24          	4.550311e-03	3.104389e-03	3.284195e-03	2.865690e-03
0.245         	4.394847e-03	2.997022e-03	3.177404e-03	2.765596e-03
0.25          	4.244103e-03	2.891826e-03	3.074007e-03	2.668612e-03
0.255         	4.097534e-03	2.788379e-03	2.974220e-03	2.575174e-03
0.26          	3.954536e-03	2.686471e-03	2.878196e-03	2.484251e-03
0.265         	3.815103e-03	2.586683e-03	2.785861e-03	2.395803e-03
0.27          	3.679364e-03	2.489156e-03	2.697434e-03	2.309252e-03
0.275         	3.547294e-03	2.394036e-03	2.612591e-03	2.224538e-03
0.28          	3.419256e-03	2.301516e-03	2.531100e-03	2.141675e-03
0.285         	3.294647e-03	2.211533e-03	2.452828e-03	2.060900e-03
0.29          	3.173147e-03	2.124534e-03	2.377327e-03	1.982032e-03
0.295         	3.054938e-03	2.040565e-03	2.304990e-03	1.905046e-03
0.3           	2.940360e-03	1.959924e-03	2.235497e-03	1.830369e-03
0.305         	2.829260e-03	1.882540e-03	2.168672e-03	1.757943e-03
0.31          	2.722415e-03	1.808447e-03	2.104914e-03	1.688084e-03
0.315         	2.619923e-03	1.737400e-03	2.044075e-03	1.620811e-03
0.32          	2.521963e-03	1.669269e-03	1.986223e-03	1.556420e-03
0.325         	2.428628e-03	1.604619e-03	1.931005e-03	1.494907e-03
0.33          	2.340016e-03	1.543430e-03	1.878332e-03	1.436439e-03
0.335         	2.256130e-03	1.485509e-03	1.828314e-03	1.381020e-03
0.34          	2.176794e-03	1.430767e-03	1.780879e-03	1.328639e-03
0.345         	2.101892e-03	1.379233e-03	1.736047e-03	1.279282e-03
0.35          	2.031325e-03	1.330824e-03	1.693721e-03	1.232793e-03
0.355         	1.965241e-03	1.285443e-03	1.653787e-03	1.189206e-03
0.36          	1.903676e-03	1.242943e-03	1.616193e-03	1.148505e-03
0.365         	1.846533e-03	1.203059e-03	1.580530e-03	1.110630e-03
0.37          	1.793675e-03	1.165639e-03	1.546664e-03	1.075435e-03
0.375         	1.744480e-03	1.130589e-03	1.514591e-03	1.042918e-03
0.38          	1.698507e-03	1.097630e-03	1.483915e-03	1.012972e-03
0.385         	1.655615e-03	1.066662e-03	1.454722e-03	9.852504e-04
0.39          	1.615760e-03	1.037542e-03	1.426561e-03	9.595118e-04
0.395         	1.578662e-03	1.009929e-03	1.399140e-03	9.356314e-04
0.4           	1.544070e-03	9.836319e-04	1.371975e-03	9.136258e-04
0.405         	1.511309e-03	9.583016e-04	1.344856e-03	8.927297e-04
0.41          	1.480351e-03	9.339619e-04	1.317639e-03	8.729469e-04
0.415         	1.450748e-03	9.102471e-04	1.290189e-03	8.542424e-04
0.42          	1.422290e-03	8.871459e-04	1.262633e-03	8.363046e-04
0.425         	1.394763e-03	8.645647e-04	1.235114e-03	8.188541e-04
0.43          	1.367955e-03	8.423301e-04	1.207739e-03	8.017854e-04
0.435         	1.341545e-03	8.203616e-04	1.180465e-03	7.848517e-04
0.44          	1.315560e-03	7.985149e-04	1.153201e-03	7.679259e-04
0.445         	1.289686e-03	7.765845e-04	1.125825e-03	7.507659e-04
0.45          	1.263661e-03	7.546013e-04	1.098151e-03	7.331833e-04
0.455         	1.237288e-03	7.324851e-04	1.070100e-03	7.150974e-04
0.46          	1.210284e-03	7.103080e-04	1.041571e-03	6.963829e-04
0.465         	1.182740e-03	6.880067e-04	1.012481e-03	6.771442e-04
0.47          	1.154792e-03	6.657758e-04	9.826889e-04	6.574222e-04
0.475         	1.126098e-03	6.437509e-04	9.522005e-04	6.372803e-04
0.48          	1.096757e-03	6.219369e-04	9.210964e-04	6.167953e-04
0.485         	1.066761e-03	6.004001e-04	8.894033e-04	5.960384e-04
0.49          	1.036087e-03	5.790732e-04	8.571876e-04	5.751943e-04
0.495         	1.004936e-03	5.580314e-04	8.245199e-04	5.543443e-04
0.5           	9.732596e-04	5.372837e-04	7.914606e-04	5.335226e-04
0.505         	9.410659e-04	5.169109e-04	7.580511e-04	5.127727e-04
0.51          	9.085368e-04	4.969315e-04	7.244518e-04	4.921540e-04
0.515         	8.757211e-04	4.773497e-04	6.907537e-04	4.717350e-04
0.52          	8.427876e-04	4.581955e-04	6.570778e-04	4.515289e-04
