# Residuals   
# Time        	p             	Ux            	Uy            	Uz            
0.005         	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
0.01          	1.887906e-01	4.741738e-01	4.768808e-01	4.623974e-01
0.015         	1.349223e-01	2.947430e-01	3.096386e-01	2.704854e-01
0.02          	8.492889e-02	1.449071e-01	1.555496e-01	1.278265e-01
0.025         	1.362424e-01	1.170788e-01	1.250400e-01	1.018597e-01
0.03          	9.758467e-02	6.133878e-02	6.901633e-02	5.428450e-02
0.035         	7.868053e-02	4.335424e-02	5.002315e-02	3.882264e-02
0.04          	5.889447e-02	3.643845e-02	4.111699e-02	3.286713e-02
0.045         	4.256388e-02	2.982623e-02	3.369275e-02	2.690947e-02
0.05          	3.666562e-02	2.305858e-02	2.665574e-02	2.111068e-02
0.055         	3.237266e-02	1.933319e-02	2.261508e-02	1.792446e-02
0.06          	2.851066e-02	1.712128e-02	2.005772e-02	1.586968e-02
0.065         	2.663320e-02	1.567009e-02	1.811776e-02	1.441266e-02
0.07          	2.497395e-02	1.406176e-02	1.635593e-02	1.298095e-02
0.075         	2.240709e-02	1.264199e-02	1.489967e-02	1.178077e-02
0.08          	2.041506e-02	1.165818e-02	1.382611e-02	1.093488e-02
0.085         	1.884535e-02	1.088327e-02	1.295553e-02	1.026108e-02
0.09          	1.751046e-02	1.021326e-02	1.221078e-02	9.682297e-03
0.095         	1.636731e-02	9.623698e-03	1.155258e-02	9.175172e-03
0.1           	1.537817e-02	9.105062e-03	1.097128e-02	8.729085e-03
0.105         	1.451778e-02	8.649884e-03	1.045274e-02	8.338904e-03
0.11          	1.375982e-02	8.246929e-03	9.982638e-03	7.996466e-03
0.115         	1.309064e-02	7.889279e-03	9.546539e-03	7.691888e-03
0.12          	1.248958e-02	7.564233e-03	9.140633e-03	7.411000e-03
0.125         	1.194686e-02	7.260561e-03	8.757174e-03	7.146921e-03
0.13          	1.145634e-02	6.975524e-03	8.392863e-03	6.898454e-03
0.135         	1.100453e-02	6.712082e-03	8.051555e-03	6.662701e-03
0.14          	1.058268e-02	6.468187e-03	7.735127e-03	6.440050e-03
0.145         	1.018642e-02	6.243510e-03	7.435648e-03	6.227302e-03
0.15          	9.815593e-03	6.040115e-03	7.156732e-03	6.020300e-03
0.155         	9.468991e-03	5.850068e-03	6.892246e-03	5.817754e-03
0.16          	9.141466e-03	5.669407e-03	6.643963e-03	5.622768e-03
0.165         	8.835337e-03	5.496640e-03	6.409010e-03	5.433080e-03
0.17          	8.541445e-03	5.332398e-03	6.188899e-03	5.250517e-03
0.175         	8.264798e-03	5.173145e-03	5.980288e-03	5.074852e-03
0.18          	8.007548e-03	5.020434e-03	5.780697e-03	4.902855e-03
0.185         	7.762805e-03	4.870694e-03	5.586446e-03	4.733203e-03
0.19          	7.528799e-03	4.722204e-03	5.397539e-03	4.564327e-03
0.195         	7.296283e-03	4.576273e-03	5.215642e-03	4.399254e-03
0.2           	7.068424e-03	4.433093e-03	5.039282e-03	4.238484e-03
0.205         	6.846156e-03	4.295512e-03	4.867666e-03	4.080990e-03
0.21          	6.628190e-03	4.160922e-03	4.703420e-03	3.929248e-03
0.215         	6.414933e-03	4.030013e-03	4.547450e-03	3.783060e-03
0.22          	6.206031e-03	3.902225e-03	4.397334e-03	3.643141e-03
0.225         	6.000607e-03	3.778842e-03	4.252561e-03	3.510810e-03
0.23          	5.798686e-03	3.659137e-03	4.113212e-03	3.387512e-03
0.235         	5.601437e-03	3.543709e-03	3.979956e-03	3.272764e-03
0.24          	5.411442e-03	3.432838e-03	3.850622e-03	3.165757e-03
0.245         	5.228729e-03	3.325712e-03	3.726803e-03	3.063942e-03
0.25          	5.054789e-03	3.222259e-03	3.608668e-03	2.967804e-03
0.255         	4.887495e-03	3.121085e-03	3.495916e-03	2.877619e-03
0.26          	4.725823e-03	3.021955e-03	3.387563e-03	2.790262e-03
0.265         	4.570335e-03	2.924648e-03	3.283931e-03	2.704932e-03
0.27          	4.422673e-03	2.829166e-03	3.184009e-03	2.621795e-03
0.275         	4.281025e-03	2.735561e-03	3.087221e-03	2.539544e-03
0.28          	4.143594e-03	2.644023e-03	2.993440e-03	2.457161e-03
0.285         	4.010992e-03	2.554683e-03	2.901876e-03	2.375299e-03
0.29          	3.881686e-03	2.467526e-03	2.812444e-03	2.294461e-03
0.295         	3.755595e-03	2.382182e-03	2.725089e-03	2.214851e-03
0.3           	3.633291e-03	2.299006e-03	2.639132e-03	2.136613e-03
0.305         	3.514441e-03	2.218262e-03	2.555715e-03	2.059822e-03
0.31          	3.398156e-03	2.139919e-03	2.475324e-03	1.984207e-03
0.315         	3.284000e-03	2.063977e-03	2.397882e-03	1.910369e-03
0.32          	3.172245e-03	1.990389e-03	2.323492e-03	1.838840e-03
0.325         	3.063878e-03	1.919451e-03	2.252695e-03	1.769738e-03
0.33          	2.959375e-03	1.851174e-03	2.185300e-03	1.703060e-03
0.335         	2.858459e-03	1.785387e-03	2.121034e-03	1.639108e-03
0.34          	2.761264e-03	1.721951e-03	2.059939e-03	1.578047e-03
