# Residuals   
# Time        	p             	Ux            	Uy            	Uz            
5.9952e-05    	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
0.000131808   	5.366988e-03	3.755707e-01	6.804651e-01	3.912182e-01
0.000217936   	6.667964e-01	1.122300e-02	1.955859e-02	1.562717e-02
0.000321219   	1.364469e-01	7.174657e-03	1.191406e-02	7.527579e-03
0.000444798   	7.923874e-02	6.034887e-03	1.044656e-02	6.403740e-03
0.000589274   	5.277493e-02	5.514687e-03	9.488442e-03	5.787017e-03
0.000755081   	4.236973e-02	4.971900e-03	8.476127e-03	5.186243e-03
0.000942324   	3.511292e-02	4.546787e-03	7.572634e-03	4.629695e-03
0.00115108    	2.987958e-02	4.224618e-03	6.819729e-03	4.141246e-03
0.00137413    	2.479871e-02	3.873125e-03	6.024548e-03	3.610188e-03
0.00159822    	1.982575e-02	3.428892e-03	5.134839e-03	3.022659e-03
0.00182439    	1.660786e-02	3.125132e-03	4.518771e-03	2.610786e-03
0.00205164    	1.400088e-02	2.880957e-03	4.035760e-03	2.292878e-03
0.00227996    	1.202690e-02	2.690126e-03	3.662770e-03	2.050510e-03
0.00250939    	1.047045e-02	2.536875e-03	3.369284e-03	1.860604e-03
0.00274105    	9.295862e-03	2.422151e-03	3.148950e-03	1.717035e-03
0.00297385    	8.259962e-03	2.315346e-03	2.954858e-03	1.592622e-03
0.00320781    	7.431200e-03	2.224465e-03	2.793904e-03	1.490265e-03
0.00344414    	6.754814e-03	2.156424e-03	2.671135e-03	1.411768e-03
0.00368167    	6.166971e-03	2.086923e-03	2.554197e-03	1.338924e-03
0.00392042    	5.673817e-03	2.025653e-03	2.453156e-03	1.276992e-03
0.00416167    	5.268084e-03	1.981386e-03	2.376965e-03	1.230110e-03
0.0044042     	4.874068e-03	1.932006e-03	2.297806e-03	1.183207e-03
0.00464803    	4.535068e-03	1.887783e-03	2.227263e-03	1.142058e-03
0.00489451    	4.281686e-03	1.857597e-03	2.175112e-03	1.111543e-03
0.00514234    	4.017888e-03	1.820678e-03	2.116699e-03	1.078740e-03
0.00539155    	3.817392e-03	1.787066e-03	2.063614e-03	1.049333e-03
0.00564216    	3.605998e-03	1.756230e-03	2.014801e-03	1.022569e-03
0.00589419    	3.430643e-03	1.728108e-03	1.970000e-03	9.984071e-04
0.00614914    	3.279338e-03	1.711898e-03	1.939283e-03	9.821250e-04
0.00640558    	3.125830e-03	1.687639e-03	1.900577e-03	9.618904e-04
0.00666353    	3.000477e-03	1.665244e-03	1.864956e-03	9.435162e-04
0.00692303    	2.876296e-03	1.644411e-03	1.831846e-03	9.266634e-04
0.00718411    	2.770008e-03	1.625062e-03	1.800955e-03	9.111803e-04
0.00744678    	2.652627e-03	1.606951e-03	1.772193e-03	8.970622e-04
