# Residuals   
# Time        	p             	Ux            	Uy            	Uz            
0.005         	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
0.01          	9.941199e-01	5.259350e-01	5.637259e-01	5.091599e-01
0.015         	2.122471e-01	4.000890e-01	5.094295e-01	3.777625e-01
0.02          	1.375880e-01	2.812013e-01	4.579993e-01	2.707230e-01
0.025         	1.198202e-01	1.874429e-01	3.864668e-01	1.897442e-01
0.03          	1.028544e-01	1.275265e-01	3.041747e-01	1.395617e-01
0.035         	8.917114e-02	9.203832e-02	2.394819e-01	1.073486e-01
0.04          	7.785540e-02	7.136308e-02	1.944411e-01	8.626205e-02
0.045         	6.906284e-02	5.828584e-02	1.632207e-01	7.192041e-02
0.05          	6.377779e-02	4.971284e-02	1.418097e-01	6.209550e-02
0.055         	6.123584e-02	4.565048e-02	1.281620e-01	5.621923e-02
0.06          	5.907516e-02	5.513789e-02	1.419123e-01	6.323109e-02
0.065         	5.532266e-02	5.024611e-02	1.295071e-01	5.815895e-02
0.07          	5.158815e-02	4.210928e-02	1.060508e-01	4.789594e-02
0.075         	5.181135e-02	4.061027e-02	1.116461e-01	4.681910e-02
0.08          	4.645268e-02	3.240940e-02	8.894184e-02	3.916640e-02
0.085         	4.453679e-02	3.112744e-02	8.687131e-02	3.806769e-02
0.09          	4.031654e-02	2.601651e-02	7.243258e-02	3.295544e-02
0.095         	3.785949e-02	2.499390e-02	7.001786e-02	3.195920e-02
0.1           	3.475419e-02	2.130687e-02	5.896131e-02	2.813913e-02
0.105         	3.219902e-02	1.933782e-02	5.332405e-02	2.596434e-02
0.11          	3.101080e-02	1.793087e-02	4.997266e-02	2.434691e-02
0.115         	2.920730e-02	1.681569e-02	4.774295e-02	2.305062e-02
0.12          	2.925229e-02	1.594903e-02	4.580216e-02	2.200926e-02
0.125         	2.910926e-02	1.586320e-02	4.830687e-02	2.272109e-02
0.13          	2.839304e-02	1.782801e-02	5.449175e-02	2.451760e-02
0.135         	2.606793e-02	1.500561e-02	4.234003e-02	2.052118e-02
0.14          	2.565826e-02	1.466949e-02	4.174119e-02	2.007477e-02
0.145         	2.452539e-02	1.335460e-02	3.716950e-02	1.842552e-02
0.15          	2.445282e-02	1.420940e-02	4.118068e-02	1.943705e-02
0.155         	2.971294e-02	1.245696e-02	3.492341e-02	1.741739e-02
0.16          	2.732604e-02	2.227764e-02	8.758417e-02	4.285551e-02
0.165         	2.588044e-02	2.259527e-02	8.065464e-02	3.284821e-02
0.17          	2.544888e-02	1.848899e-02	5.980760e-02	2.579917e-02
0.175         	2.432307e-02	1.588855e-02	4.926464e-02	2.189048e-02
0.18          	2.336782e-02	1.380430e-02	4.298054e-02	1.960043e-02
0.185         	2.203046e-02	1.223638e-02	3.569755e-02	1.737372e-02
0.19          	2.173528e-02	1.221948e-02	3.396170e-02	1.691585e-02
0.195         	2.084242e-02	1.090794e-02	2.960550e-02	1.509128e-02
0.2           	2.002489e-02	1.069897e-02	3.021830e-02	1.485837e-02
0.205         	2.789798e-02	9.436767e-03	2.668847e-02	1.370275e-02
0.21          	2.748807e-02	8.274237e-02	2.121975e-01	1.112462e-01
0.215         	3.010190e-02	6.144378e-02	1.653943e-01	7.254672e-02
0.22          	3.045459e-02	3.973621e-02	1.050492e-01	4.904036e-02
0.225         	2.719976e-02	3.093625e-02	9.032363e-02	3.779783e-02
0.23          	2.533454e-02	2.354012e-02	7.235594e-02	3.080962e-02
0.235         	2.481150e-02	2.045194e-02	5.975799e-02	2.624283e-02
0.24          	2.428394e-02	1.816982e-02	5.124545e-02	2.349052e-02
0.245         	2.375256e-02	1.687336e-02	4.738572e-02	2.234259e-02
0.25          	2.286190e-02	1.585713e-02	4.424673e-02	2.100964e-02
0.255         	2.275775e-02	1.464321e-02	4.059695e-02	1.945424e-02
0.26          	4.597621e-02	1.356370e-02	3.580654e-02	1.712783e-02
0.265         	6.980504e-02	3.722982e-01	5.687714e-01	4.319681e-01
0.27          	1.017073e-01	3.604241e-01	4.213618e-01	3.652229e-01
0.275         	1.094050e-01	2.992971e-01	3.612872e-01	3.332928e-01
0.28          	1.032087e-01	2.577591e-01	3.098972e-01	2.686446e-01
0.285         	1.063990e-01	2.341589e-01	3.024029e-01	2.550758e-01
0.29          	1.032048e-01	2.213901e-01	2.834127e-01	2.459797e-01
0.295         	9.924475e-02	2.058419e-01	2.658138e-01	2.317873e-01
0.3           	9.558362e-02	1.859998e-01	2.427895e-01	2.197418e-01
0.305         	9.271946e-02	1.707917e-01	2.316341e-01	2.092557e-01
0.31          	8.942137e-02	1.543070e-01	2.202613e-01	1.941883e-01
0.315         	8.892463e-02	1.420750e-01	2.101405e-01	1.834452e-01
0.32          	8.633805e-02	1.311474e-01	2.004703e-01	1.747327e-01
0.325         	8.377485e-02	1.222543e-01	1.915868e-01	1.660102e-01
0.33          	8.117405e-02	1.169510e-01	1.842821e-01	1.609564e-01
0.335         	7.911432e-02	1.116683e-01	1.738167e-01	1.536469e-01
0.34          	7.783835e-02	1.078398e-01	1.655835e-01	1.495888e-01
0.345         	7.573084e-02	1.047793e-01	1.555553e-01	1.438345e-01
0.35          	7.510334e-02	1.015911e-01	1.465618e-01	1.375644e-01
0.355         	7.368038e-02	9.898218e-02	1.407400e-01	1.325337e-01
0.36          	7.315162e-02	9.628540e-02	1.354266e-01	1.280936e-01
0.365         	7.155282e-02	9.408329e-02	1.312267e-01	1.231883e-01
0.37          	7.004743e-02	9.184046e-02	1.285206e-01	1.172592e-01
0.375         	6.868120e-02	8.913385e-02	1.273235e-01	1.121659e-01
0.38          	6.769236e-02	8.678578e-02	1.261811e-01	1.080587e-01
0.385         	6.555444e-02	8.487573e-02	1.254643e-01	1.045197e-01
0.39          	6.316310e-02	8.213964e-02	1.233373e-01	9.970071e-02
0.395         	6.150844e-02	7.832676e-02	1.212335e-01	9.546163e-02
0.4           	5.958097e-02	7.405305e-02	1.176897e-01	9.069602e-02
0.405         	5.809921e-02	7.036648e-02	1.132604e-01	8.662590e-02
0.41          	5.665411e-02	6.653450e-02	1.086746e-01	8.411333e-02
0.415         	5.603711e-02	6.312053e-02	1.048208e-01	8.080159e-02
0.42          	5.717803e-02	5.993426e-02	1.007048e-01	7.859486e-02
0.425         	5.692481e-02	6.750553e-02	1.081473e-01	1.093901e-01
0.43          	5.783036e-02	7.364144e-02	1.200697e-01	1.206341e-01
0.435         	5.659281e-02	6.137332e-02	1.090960e-01	9.132368e-02
0.44          	5.631908e-02	5.597541e-02	1.005062e-01	8.354364e-02
0.445         	5.551018e-02	5.308074e-02	9.687302e-02	7.978997e-02
0.45          	5.519684e-02	5.110408e-02	9.468465e-02	7.729559e-02
0.455         	5.453205e-02	4.936821e-02	9.186191e-02	7.479347e-02
0.46          	5.433736e-02	4.768366e-02	9.015926e-02	7.209220e-02
0.465         	5.424883e-02	4.647270e-02	8.808505e-02	6.954718e-02
0.47          	5.417420e-02	4.547298e-02	8.640944e-02	6.781519e-02
0.475         	5.396018e-02	4.449124e-02	8.516715e-02	6.640393e-02
0.48          	5.397431e-02	4.355383e-02	8.411385e-02	6.462504e-02
0.485         	5.382949e-02	4.254325e-02	8.263584e-02	6.329330e-02
0.49          	5.396666e-02	4.185208e-02	8.219985e-02	6.232569e-02
0.495         	5.342986e-02	4.100586e-02	8.174859e-02	6.171559e-02
0.5           	5.299532e-02	4.022040e-02	8.080831e-02	6.070367e-02
0.505         	5.270341e-02	3.957992e-02	8.053024e-02	5.906225e-02
