# Residuals   
# Time        	p             	Ux            	Uy            	Uz            
0.005         	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
0.01          	1.988295e-01	4.768909e-01	5.234000e-01	4.718203e-01
0.015         	9.123022e-02	2.795020e-01	4.420798e-01	2.998454e-01
0.02          	1.343976e-01	2.137837e-01	4.373954e-01	2.146307e-01
0.025         	1.208852e-01	1.439586e-01	3.430738e-01	1.410861e-01
0.03          	8.771914e-02	8.766680e-02	2.230001e-01	9.107291e-02
0.035         	7.080758e-02	6.203352e-02	1.550241e-01	6.684881e-02
0.04          	6.425714e-02	5.408493e-02	1.470310e-01	5.338869e-02
0.045         	4.748498e-02	4.089697e-02	1.150305e-01	4.063456e-02
0.05          	3.681246e-02	3.102274e-02	8.626386e-02	3.250419e-02
0.055         	3.303678e-02	2.146324e-02	5.740796e-02	2.464785e-02
0.06          	2.936386e-02	1.748690e-02	4.537124e-02	2.121375e-02
0.065         	2.740821e-02	1.544800e-02	4.019569e-02	1.887077e-02
0.07          	2.600405e-02	1.379872e-02	3.645716e-02	1.689208e-02
0.075         	2.365989e-02	1.192724e-02	3.107111e-02	1.509948e-02
0.08          	2.086877e-02	1.045832e-02	2.665358e-02	1.372437e-02
0.085         	1.920689e-02	9.637267e-03	2.429114e-02	1.285063e-02
0.09          	1.776348e-02	8.815964e-03	2.178788e-02	1.194128e-02
0.095         	1.622252e-02	8.087519e-03	1.960243e-02	1.113216e-02
0.1           	1.499150e-02	7.554607e-03	1.812119e-02	1.046390e-02
0.105         	1.392831e-02	7.108001e-03	1.691372e-02	9.860356e-03
0.11          	1.298909e-02	6.710394e-03	1.583285e-02	9.305996e-03
0.115         	1.214154e-02	6.345842e-03	1.483791e-02	8.798775e-03
0.12          	1.137159e-02	6.003119e-03	1.389897e-02	8.334757e-03
0.125         	1.067550e-02	5.683213e-03	1.303532e-02	7.916373e-03
0.13          	1.005294e-02	5.389847e-03	1.227427e-02	7.538609e-03
0.135         	9.498249e-03	5.128131e-03	1.162342e-02	7.196000e-03
0.14          	9.005017e-03	4.895084e-03	1.106584e-02	6.880949e-03
0.145         	8.557338e-03	4.685628e-03	1.056854e-02	6.586404e-03
