# Residuals   
# Time        	p             	Ux            	Uy            	Uz            
0.005         	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
0.01          	8.799716e-01	1.117781e-01	2.161973e-01	1.458363e-01
0.015         	3.328265e-01	5.701950e-02	1.356626e-01	7.198467e-02
0.02          	1.666790e-01	3.010386e-02	7.732438e-02	3.750659e-02
0.025         	1.170544e-01	2.163205e-02	5.471432e-02	2.713972e-02
0.03          	9.431580e-02	1.832930e-02	4.544856e-02	2.336131e-02
0.035         	8.224454e-02	1.652313e-02	4.175292e-02	2.192027e-02
0.04          	7.415778e-02	1.546306e-02	3.950190e-02	2.151499e-02
0.045         	6.809617e-02	1.496184e-02	3.703331e-02	2.139289e-02
0.05          	6.268466e-02	1.471612e-02	3.516807e-02	2.131463e-02
0.055         	5.978916e-02	1.458702e-02	3.397470e-02	2.130363e-02
0.06          	5.715168e-02	1.458828e-02	3.348045e-02	2.139497e-02
0.065         	5.579790e-02	1.461997e-02	3.351286e-02	2.152554e-02
0.07          	5.402280e-02	1.456878e-02	3.370140e-02	2.164759e-02
0.075         	5.403318e-02	1.454579e-02	3.414244e-02	2.174327e-02
0.08          	5.346393e-02	1.463401e-02	3.479444e-02	2.184688e-02
0.085         	5.390877e-02	1.480195e-02	3.607851e-02	2.196860e-02
0.09          	5.376650e-02	1.495549e-02	3.716201e-02	2.208070e-02
0.095         	5.363817e-02	1.507535e-02	3.805726e-02	2.221601e-02
0.1           	5.295925e-02	1.534551e-02	3.878239e-02	2.237550e-02
0.105         	5.235404e-02	1.556112e-02	3.954112e-02	2.258532e-02
0.11          	5.245747e-02	1.581727e-02	4.034442e-02	2.282982e-02
0.115         	5.240894e-02	1.607156e-02	4.102560e-02	2.312378e-02
0.12          	5.281978e-02	1.632487e-02	4.169012e-02	2.336603e-02
0.125         	5.295893e-02	1.656693e-02	4.234932e-02	2.351796e-02
0.13          	5.294547e-02	1.677406e-02	4.294749e-02	2.364998e-02
0.135         	5.402942e-02	1.685177e-02	4.334200e-02	2.370258e-02
0.14          	5.456289e-02	1.684058e-02	4.348242e-02	2.358001e-02
0.145         	5.505857e-02	1.673897e-02	4.356877e-02	2.339789e-02
0.15          	5.487845e-02	1.661895e-02	4.351033e-02	2.322895e-02
0.155         	5.399786e-02	1.653781e-02	4.343757e-02	2.305275e-02
0.16          	5.496439e-02	1.649405e-02	4.336459e-02	2.286009e-02
0.165         	5.482829e-02	1.644680e-02	4.318356e-02	2.269073e-02
0.17          	5.464324e-02	1.641342e-02	4.290918e-02	2.251579e-02
0.175         	5.466773e-02	1.632146e-02	4.253940e-02	2.233197e-02
0.18          	5.428469e-02	1.616666e-02	4.200429e-02	2.211094e-02
