# Residuals   
# Time        	p             	Ux            	Uy            	Uz            
0.005         	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
0.01          	1.752792e-02	1.812502e-01	2.549769e-01	2.612489e-01
0.015         	4.688000e-02	4.937758e-02	8.547806e-02	6.705228e-02
0.02          	5.841187e-02	2.602726e-02	4.382593e-02	2.569665e-02
0.025         	5.874016e-02	1.515154e-02	2.664780e-02	1.688050e-02
0.03          	3.874287e-02	1.184055e-02	2.069405e-02	1.424435e-02
0.035         	2.708927e-02	1.008199e-02	1.696739e-02	1.288323e-02
0.04          	1.634390e-02	9.218876e-03	1.502144e-02	1.240650e-02
0.045         	1.336802e-02	8.302258e-03	1.315553e-02	1.139823e-02
0.05          	1.130280e-02	7.716817e-03	1.206915e-02	1.058728e-02
0.055         	9.909001e-03	7.228574e-03	1.123900e-02	9.853149e-03
0.06          	9.256753e-03	6.759117e-03	1.058266e-02	9.120730e-03
0.065         	8.726593e-03	6.391787e-03	9.921032e-03	8.499901e-03
0.07          	8.307147e-03	6.075246e-03	9.359291e-03	8.002820e-03
0.075         	7.943533e-03	5.765852e-03	8.888271e-03	7.547512e-03
0.08          	7.856847e-03	5.474363e-03	8.411457e-03	7.081387e-03
0.085         	7.286672e-03	5.277336e-03	8.098596e-03	6.693723e-03
0.09          	7.218651e-03	5.023455e-03	7.661170e-03	6.336282e-03
0.095         	6.623752e-03	4.847026e-03	7.352074e-03	6.024287e-03
0.1           	6.577019e-03	4.630589e-03	6.986152e-03	5.721680e-03
0.105         	6.059159e-03	4.498335e-03	6.762466e-03	5.451483e-03
0.11          	6.035026e-03	4.303801e-03	6.456560e-03	5.192256e-03
0.115         	5.552040e-03	4.195294e-03	6.271589e-03	4.958604e-03
0.12          	5.521238e-03	4.018961e-03	5.996700e-03	4.733687e-03
0.125         	5.095880e-03	3.922610e-03	5.823101e-03	4.527758e-03
0.13          	5.065207e-03	3.764138e-03	5.567855e-03	4.327597e-03
0.135         	4.679535e-03	3.687248e-03	5.400006e-03	4.143009e-03
0.14          	4.654097e-03	3.539892e-03	5.159409e-03	3.966110e-03
0.145         	4.290569e-03	3.474065e-03	4.994408e-03	3.801128e-03
0.15          	4.258543e-03	3.340707e-03	4.762269e-03	3.644883e-03
0.155         	3.933791e-03	3.276687e-03	4.605799e-03	3.498923e-03
0.16          	3.901670e-03	3.157202e-03	4.390411e-03	3.358470e-03
0.165         	3.604037e-03	3.101006e-03	4.253272e-03	3.227720e-03
0.17          	3.580198e-03	2.993767e-03	4.055592e-03	3.102395e-03
0.175         	3.308249e-03	2.942664e-03	3.935689e-03	2.987433e-03
0.18          	3.293390e-03	2.845358e-03	3.757284e-03	2.876073e-03
0.185         	3.044455e-03	2.799236e-03	3.651435e-03	2.774947e-03
0.19          	3.040515e-03	2.710300e-03	3.492617e-03	2.675394e-03
0.195         	2.933665e-03	2.656526e-03	3.372203e-03	2.581364e-03
0.2           	2.704114e-03	2.610266e-03	3.293877e-03	2.498529e-03
0.205         	2.714819e-03	2.529760e-03	3.145035e-03	2.410738e-03
0.21          	2.629052e-03	2.485677e-03	3.035779e-03	2.328525e-03
0.215         	2.515545e-03	2.442944e-03	2.940870e-03	2.250365e-03
0.22          	2.415053e-03	2.395160e-03	2.847135e-03	2.177811e-03
0.225         	2.332104e-03	2.346705e-03	2.752958e-03	2.108517e-03
0.23          	2.259635e-03	2.301884e-03	2.661344e-03	2.040863e-03
0.235         	2.189481e-03	2.261158e-03	2.574682e-03	1.974882e-03
0.24          	2.118629e-03	2.223080e-03	2.492299e-03	1.910897e-03
0.245         	2.048794e-03	2.186128e-03	2.412831e-03	1.849337e-03
0.25          	1.981792e-03	2.150017e-03	2.335135e-03	1.790133e-03
0.255         	1.918547e-03	2.113858e-03	2.259273e-03	1.733305e-03
0.26          	1.857170e-03	2.078367e-03	2.184944e-03	1.678572e-03
0.265         	1.798758e-03	2.042780e-03	2.112140e-03	1.625681e-03
0.27          	1.743008e-03	2.007230e-03	2.041182e-03	1.574675e-03
0.275         	1.689628e-03	1.971892e-03	1.972338e-03	1.525359e-03
0.28          	1.638116e-03	1.936090e-03	1.905666e-03	1.477553e-03
0.285         	1.588470e-03	1.899983e-03	1.841467e-03	1.431239e-03
0.29          	1.540571e-03	1.863581e-03	1.779573e-03	1.386545e-03
0.295         	1.494633e-03	1.826687e-03	1.719838e-03	1.343211e-03
0.3           	1.450370e-03	1.789169e-03	1.662063e-03	1.301095e-03
0.305         	1.407691e-03	1.751394e-03	1.606362e-03	1.260071e-03
0.31          	1.366443e-03	1.712953e-03	1.552738e-03	1.220139e-03
0.315         	1.326297e-03	1.673851e-03	1.500979e-03	1.181224e-03
0.32          	1.287126e-03	1.634180e-03	1.451012e-03	1.143147e-03
0.325         	1.248995e-03	1.594076e-03	1.402483e-03	1.105734e-03
0.33          	1.211813e-03	1.553617e-03	1.355513e-03	1.069146e-03
0.335         	1.175501e-03	1.512575e-03	1.309771e-03	1.033248e-03
0.34          	1.139997e-03	1.470992e-03	1.265251e-03	9.978937e-04
0.345         	1.105150e-03	1.429188e-03	1.221799e-03	9.631136e-04
0.35          	1.071019e-03	1.387135e-03	1.179233e-03	9.288422e-04
0.355         	1.037425e-03	1.344802e-03	1.137679e-03	8.952029e-04
0.36          	1.004340e-03	1.302222e-03	1.096910e-03	8.621454e-04
0.365         	9.717086e-04	1.259412e-03	1.056918e-03	8.296186e-04
0.37          	9.395379e-04	1.216594e-03	1.017596e-03	7.975897e-04
0.375         	9.077357e-04	1.173884e-03	9.789160e-04	7.660667e-04
0.38          	8.762309e-04	1.131296e-03	9.409374e-04	7.350204e-04
0.385         	8.450788e-04	1.089032e-03	9.036685e-04	7.045007e-04
0.39          	8.142927e-04	1.047129e-03	8.671865e-04	6.745911e-04
0.395         	7.839666e-04	1.005680e-03	8.314928e-04	6.452938e-04
0.4           	7.541224e-04	9.647889e-04	7.966293e-04	6.166242e-04
0.405         	7.247263e-04	9.246026e-04	7.627363e-04	5.886098e-04
0.41          	6.957273e-04	8.852572e-04	7.298621e-04	5.612509e-04
0.415         	6.672940e-04	8.468408e-04	6.981509e-04	5.346201e-04
0.42          	6.394930e-04	8.094801e-04	6.676951e-04	5.087007e-04
0.425         	6.124149e-04	7.731814e-04	6.384200e-04	4.835347e-04
0.43          	5.861794e-04	7.379179e-04	6.104597e-04	4.591426e-04
0.435         	5.609140e-04	7.036096e-04	5.837746e-04	4.355613e-04
0.44          	5.365410e-04	6.703328e-04	5.584680e-04	4.128017e-04
0.445         	5.130475e-04	6.380716e-04	5.343289e-04	3.908550e-04
0.45          	4.903894e-04	6.067844e-04	5.114070e-04	3.697388e-04
0.455         	4.686981e-04	5.764650e-04	4.897292e-04	3.494577e-04
0.46          	4.478741e-04	5.471663e-04	4.690239e-04	3.300221e-04
0.465         	4.279350e-04	5.187675e-04	4.492080e-04	3.114034e-04
0.47          	4.088172e-04	4.912756e-04	4.302453e-04	2.935884e-04
0.475         	3.904949e-04	4.646761e-04	4.119346e-04	2.765635e-04
0.48          	3.729534e-04	4.389370e-04	3.941643e-04	2.602990e-04
